,work_year,experience_level,job_title,salary,salary_currency,salary_in_usd,company_location,company_size
396,2022,MI,Machine Learning Engineer,80000,EUR,87932,DE,M
397,2022,MI,Data Engineer,90000,GBP,117789,GB,M
398,2022,SE,Data Scientist,215300,USD,215300,US,L
399,2022,SE,Data Scientist,158200,USD,158200,US,L
400,2022,SE,Data Engineer,209100,USD,209100,US,L
401,2022,SE,Data Engineer,154600,USD,154600,US,L
402,2022,SE,Data Analyst,115934,USD,115934,US,M
403,2022,SE,Data Analyst,81666,USD,81666,US,M
404,2022,SE,Data Engineer,175000,USD,175000,US,M
405,2022,MI,Data Engineer,75000,GBP,98158,GB,M
406,2022,MI,Data Analyst,58000,USD,58000,US,S
407,2022,SE,Data Engineer,183600,USD,183600,US,L
408,2022,MI,Data Analyst,40000,GBP,52351,GB,M
409,2022,SE,Data Scientist,180000,USD,180000,US,M
410,2022,MI,Data Scientist,55000,GBP,71982,GB,M
411,2022,MI,Data Scientist,35000,GBP,45807,GB,M
412,2022,MI,Data Engineer,60000,EUR,65949,GR,M
413,2022,MI,Data Engineer,45000,EUR,49461,GR,M
414,2022,MI,Data Engineer,60000,GBP,78526,GB,M
415,2022,MI,Data Engineer,45000,GBP,58894,GB,M
416,2022,SE,Data Scientist,260000,USD,260000,US,M
417,2022,SE,Data Science Engineer,60000,USD,60000,MX,L
418,2022,MI,Data Engineer,63900,USD,63900,US,M
419,2022,MI,Machine Learning Scientist,160000,USD,160000,US,L
420,2022,MI,Machine Learning Scientist,112300,USD,112300,US,L
421,2022,MI,Data Science Manager,241000,USD,241000,US,M
422,2022,MI,Data Science Manager,159000,USD,159000,US,M
423,2022,SE,Data Scientist,180000,USD,180000,US,M
424,2022,SE,Data Scientist,80000,USD,80000,US,M
425,2022,MI,Data Engineer,82900,USD,82900,US,M
426,2022,SE,Data Engineer,100800,USD,100800,US,L
427,2022,MI,Data Engineer,45000,EUR,49461,ES,M
428,2022,SE,Data Scientist,140400,USD,140400,US,L
429,2022,MI,Data Analyst,30000,GBP,39263,GB,M
430,2022,MI,Data Analyst,40000,EUR,43966,ES,M
431,2022,MI,Data Analyst,30000,EUR,32974,ES,M
432,2022,MI,Data Engineer,80000,EUR,87932,ES,M
433,2022,MI,Data Engineer,70000,EUR,76940,ES,M
434,2022,MI,Data Engineer,80000,GBP,104702,GB,M
435,2022,MI,Data Engineer,70000,GBP,91614,GB,M
436,2022,MI,Data Engineer,60000,EUR,65949,ES,M
437,2022,MI,Data Engineer,80000,EUR,87932,GR,M
438,2022,SE,Machine Learning Engineer,189650,USD,189650,US,M
439,2022,SE,Machine Learning Engineer,164996,USD,164996,US,M
440,2022,MI,Data Analyst,40000,EUR,43966,GR,M
441,2022,MI,Data Analyst,30000,EUR,32974,GR,M
442,2022,MI,Data Engineer,75000,GBP,98158,GB,M
443,2022,MI,Data Engineer,60000,GBP,78526,GB,M
444,2022,SE,Data Scientist,215300,USD,215300,US,L
445,2022,MI,Data Engineer,70000,EUR,76940,GR,M
446,2022,SE,Data Engineer,209100,USD,209100,US,L
447,2022,SE,Data Engineer,154600,USD,154600,US,L
448,2022,SE,Data Engineer,180000,USD,180000,US,M
449,2022,EN,ML Engineer,20000,EUR,21983,PT,L
450,2022,SE,Data Engineer,80000,USD,80000,US,M
451,2022,MI,Machine Learning Developer,100000,CAD,78791,CA,M
452,2022,EX,Director of Data Science,250000,CAD,196979,CA,L
453,2022,MI,Machine Learning Engineer,120000,USD,120000,US,S
454,2022,EN,Computer Vision Engineer,125000,USD,125000,US,M
455,2022,MI,NLP Engineer,240000,CNY,37236,US,L
456,2022,SE,Data Engineer,105000,USD,105000,US,M
457,2022,SE,Lead Machine Learning Engineer,80000,EUR,87932,DE,M
